課程代碼,課程名稱,教師,時間,教室
EE060B,微積分(下),張麗芬,1-34,懷恩201
EE145B,普通物理實驗(二),何依霖,4-78C,
EE242B,電路實驗,黃冠瑜,1-567,電學306
EE243B,計算機概論(二),王佳盈,2-234,科學B06
EE316B,工程數學(一),許文良,2-8,教學512
EE610B,英文(二),張若妍,5-34,教學415B
EE610C,英文(二),鍾夙怡,5-34,懷恩105
EE610D,英文(二),葉凱湞,5-34,教學609
EE612B,英語聽講(二),董玉莉,2-56,全人南棟302
EE629B,電路學(一),許世哲,4-5,教學512
EE115S,書報討論,洪穎怡,4-5,篤信354
EE412S,人工智慧,洪穎怡,2-678,篤信354
EE558S,即時數位信號處理實務,張政元,2-567,
EE560S,即時數位信號處理,張政元,3-567,篤信354
EE598S,電力電子智慧控制, ,1-678,篤信354
EE138W,論文, ,,
EE628W,書報討論(二), , ,
EE115T,書報討論,張欣宏,4-6,電學講
EE138T,論文, ,,
EE138t,論文, ,,
EE628t,書報討論(二),邱謙松,4-F,電學講
EE315D,類比電路實驗,馬立山,3-78C,電學306
EE3187,FPGA晶片設計導論,賴裕昆,2-78C,電學B01
EE318D,機率與統計,涂世雄,1-78C,教學512
EE381D,電子學(二),張欣宏,1-3,教學512
EE398D,訊號與系統,游仁德,2-56,教學517
EE403D,綠色電力原理與實驗,廖炯州,4-78C,電學106
EE441D,電力系統,廖炯州,5-234,教學517
EE702D,實用英文（二）,歐貞秀,1-56,教學415B
EE801A,語文與修辭,呂映靜,5-56,教學517
EE315E,類比電路實驗,馬立山,4-234,電學306
EE318E,機率與統計,涂世雄,5-78C,教學512
EE381E,電子學(二),張欣宏,3-12,教學512
EE398E,訊號與系統,游仁德,3-56,教學517
EE441E,電力系統,廖炯州,2-234,教學517
EE7022,實用英文（二）,林雅瓊,1-56,教學305B
EE702E,實用英文（二）,歐陽琪,1-56,教學510
EE702F,實用英文（二）,陳蓉娟,1-56,懷恩205
EE801B,語文與修辭,呂映靜,5-34,懷恩205
EE138U,論文, ,,
EE106G,產業創新與前瞻科技導論,林康平,2-78C,電學510
EE161G,電磁學,黃崇豪,1-234,教學517
EE326G,電力節能診斷技術實習,黃崇豪,,
EE327G,高等控制工程原理與電腦實驗,何天讚,4-78C,教學517
EE336G,專題研究(一),張政元,,
EE336G,專題研究(一),陳士麟,,
EE367G,通信調變理論,許文良,2-5,電學510
EE415G,通訊實驗,王佳盈,5-234,電學306
EE461G,電力電子實務,何依霖,4-234,電學510
EE463G,智慧控制與製造技術,邱謙松,3-678,教學510
EE801G,智慧電網導論,周一婷,3-EFG,
EE161H,電磁學,黃崇豪,2-234,教學510
EE336H,專題研究(一),陳士麟,,
EE336H,專題研究(一),廖裕評,,
EE299L,專題研究(二),賴裕昆,,
EE322L,電機機械,陳宏良,4-EFG,教學512
EE418L,企業實習(一),邱謙松,,
EE419L,企業實習(二),邱謙松,,
EE454L,問題分析與解決,邱添丁,4-567,教學510
EE460L,半導體封測實習,邱謙松,,
EE487L,業界專題,邱謙松,,
EE805L,機械手臂PBL專題實作,邱謙松,2-678,篤信355
EE805L,機械手臂PBL專題實作,張世勳,2-678,篤信355
EN000A,自然科學與人工智慧導論,蔡大偉,5-34,教學409
EN000A,自然科學與人工智慧導論,陳聖博,5-34,教學409
EN004A,普通物理(二),黃麗錦,1-34,工學225
EN056A,統計學,王玉純,2-567,教學610
EN103A,環境化學(二),江政傑,1-567,教學601
EN105A,程式語言與設計,陳聖博,4-4,管理102
EN6101,英文(二),施嘉琪,5-12,懷恩201
EN610A,英文(二),謝欣芳,5-12,教學415A
EN610B,英文(二),郭媛婷,5-12,教學509
EN610C,英文(二),陳玉姍,5-12,教學405B
EN612A,英語聽講(二),黃孟葳,4-56,全人南棟401
EN726A,運算思維與程式設計,陳聖博,4-23,管理102
EN801A,語文與修辭,林菁菁,3-78,教學801
EN115R,書報討論,游勝傑,1-34,生科303
EN437R,書報討論,蔡大偉,1-34,生科301
EN502R,環工田野調查(二),江政傑,,
EN514R,個案研析(二),江政傑,5-8CD,生科301
EN515R,英文科技論文寫作,王雅玢,3-78C,生科303
EN525R,薄膜技術於環境工程之應用,陳福幸緣,4-678,教學610
EN539R,環工物化處理程序,林志麟,5-567,生科301
EN615R,空氣品質管理,王雅玢,5-234,生科303
EN115r,書報討論,游勝傑,6-12,生科303
EN302r,土壤及地下水整治,劉志忠,4-EFG,生科303
EN302r,土壤及地下水整治,趙煥平,4-EFG,生科303
EN441r,淨零發展與國際趨勢,沈志修,6-34,生科303
EN611r,環境工程實務(二),游勝傑,3-EFG,生科303
EN611r,環境工程實務(二),王雅玢,3-EFG,生科303
EN618r,水污染防治政策與實務,張根穆,6-678,懷恩203
EN204D,環境工程實驗,江政傑,4-5678,生科301
EN206D,循環經濟與淨零排放,張添晉,4-34,教學610
EN207D,歐盟文化與環境保護發展,陳美芬,4-CD,教學610
EN207D,歐盟文化與環境保護發展,王淳讙,4-CD,教學610
EN207D,歐盟文化與環境保護發展,魏福勝,4-CD,教學610
EN207D,歐盟文化與環境保護發展,黃仲偉,4-CD,教學610
EN207D,歐盟文化與環境保護發展,王彬墀,4-CD,教學610
EN207D,歐盟文化與環境保護發展,翁輝竹,4-CD,教學610
EN207D,歐盟文化與環境保護發展,林耘竹,4-CD,教學610
EN207D,歐盟文化與環境保護發展,林孟郁,4-CD,教學610
EN207D,歐盟文化與環境保護發展,陳昱劭,4-CD,教學610
EN207D,歐盟文化與環境保護發展,王玉純,4-CD,教學610
EN209D,AI人工智慧開發應用,陳聖博,1-8C,生科301
EN211D,環境專案資訊整合,葉庭岑,1-56,生科301
EN247D,儀器分析,趙煥平,5-678,教學612
EN317D,工程數學(二),陳聖博,2-567,懷恩104
EN402D,環境風險評估,王玉純,5-34,教學509
EN7022,實用英文（二）,邱志賓,1-34,懷恩207
EN702D,實用英文（二）,歐陽琪,1-34,教學805
EN702E,實用英文（二）,陳蓉娟,1-34,教學509
EN702F,實用英文（二）,林雅瓊,1-34,教學305B
EN115T,書報討論,游勝傑,1-12,生科303
EN138T,論文, ,,
EN437T,書報討論,蔡大偉,1-12,生科301
EN930T,環境變遷與永續發展,王玉純,3-56,生科303
EN115t,書報討論,游勝傑,6-8C,生科303
EN138t,論文, ,,
EN319t,環境災害應變,傅豫東,6-567,生科303
EN612t,環境工程實務(四),蔡大偉,4-DEF,生科301
EN612t,環境工程實務(四),王雅玢,4-DEF,生科301
EN616t,職業安全衛生特論,鄒子廉,6-234,懷恩203
EN202G,分析化學,江政傑,5-56,教學610
EN308G,空氣污染工程,王雅玢,1-234,教學610
EN309G,環境工程實務講座(二),王雅玢,1-78,工學117
EN309G,環境工程實務講座(二),蔡大偉,1-78,工學117
EN316G,土壤與地下水污染整治概論,趙煥平,2-567,生科301
EN317G,碳盤查及減碳技術,蔡大偉,2-234,教學610
EN414G,環境工程單元操作,林志麟,4-567,生科303
EN417G,物聯網環境監測實務,婁明煌,5-78C,教學610
EN419G,污水工程,游勝傑,5-234,教學610
EN299L,專題研究(二),趙煥平,,
EN315L,環境規劃管理,張添晉,1-B56,教學610
EN315L,環境規劃管理,游勝傑,1-B56,教學610
EN410L,企業實習(二),林志麟,,
EN410L,企業實習(二),游勝傑,,
EN412L,資源循環工程,林志麟,2-56,教學810
EN424L,台灣環境保護史(二),張子敬,5-34,生科301
EN477L,環境科技與永續發展,蔡大偉,5-56,教學509
EN500L,環管及安衛國際認證,江淑鳳,2-234,生科301
IU100A,資訊科技導論,謝秀音,1-234,管理321
IU126A,商用數學,羅汨,3-567,教學315A
IU240A,經濟學(二),江長周,4-678,懷恩203
IU247A,實用英文(二),賴曉雯,2-56,教學405B
IU293A,英文文法與寫作(二),賴曉雯,2-34,教學405B
IU612A,英語聽講(二),許秀貞,4-34,全人南棟402
IU065D,行銷學,金旼宣,1-234,管理402B
IU201D,投資學導論與實務,黃飛文,4-567,管理321
IU202D,行銷個案研討,金旼宣,3-678,管理402A
IU238D,統計學(二),朱珊瑩,3-567,管理321
IU281D,當代管理學,金旼宣,1-78C,管理403
IU091G,社群媒體行銷,黃悠福,4-8CD,商學407
IU307G,策略管理,阮瓊妝,4-567,管理402B
IU308G,生成式AI跨域實作,傅子恒,4-234,領航211
IU309G,創業與創新管理,陳曉瑩,5-678,管理321
IU310G,財務管理概要,高克爾,2-567,
IU466G,人力資源管理,金旼宣,5-34B,管理402B
IU625G,風險管理,高克爾,3-567,
BA011V,人力資源管理專題研討,邱雅萍,5-234,商學201
BA024V,獨立研究(一),邱榆淨,,
BA024V,獨立研究(一),李雨師,,
BA024V,獨立研究(一),邱雅萍,,
BA024X,獨立研究(一), , ,
BA025V,獨立研究(二),楊慶麟,,
BA025V,獨立研究(二),吳昱鋒,,
BA025X,獨立研究(二), , ,
BA508V,企業倫理專題研討,李明彥,5-8C,商學201
BA508V,企業倫理專題研討,邱榆淨,5-8C,商學201
BA604V,專題研討,陳旭麟,6-23,管理402B
BA604V,專題研討,胡宜中,6-23,管理402B
BA656V,獨立研究(三),簡志峰,,
BA692V,定量研究方法,胡宜中,1-EFG,管理203
BA692V,定量研究方法,陳旭麟,1-EFG,管理203
BA702V,藝術美學,翁立美,2-567,商學407
BA796V,定性研究方法,李明彥,5-567,商學201
BA796V,定性研究方法,嚴奇峰,5-567,商學201
BA809V,策略性領導,顧筱筠,6-678,管理203
BA809V,策略性領導,陳旭麟,6-678,管理203
BA923V,教育領導創新與管理專題,楊慶麟,5-678,全人南棟409
BA155R,研究方法,顧志遠,2-567,商學201
BA343R,生產與作業管理,黃文佐,3-678,管理203
BA358R,全球台商個案研討,林震岩,5-234,管理203
BA466R,人力資源管理,李明彥,4-678,商學202
BA489R,消費者行為,林瓊菱,1-234,商學201
BA493R,國際企業管理,王如鈺,2-567,管理203
BA508R,管理實境解題(二),賴正育,3-EFG,管理203
BA508R,管理實境解題(二),李明彥,3-EFG,管理203
BA508R,管理實境解題(二),蔡文鈞,3-EFG,管理203
BA529R,科技管理,蔡文鈞,1-678,管理203
BA531R,半導體排程管理,黃文佐,4-678,管理203
BA596R,文化中介與文創產業,翁立美,3-78C,商學201
BA599R,藝術管理, ,2-CD,教學611
BA358r,全球台商個案研討,林震岩,6-4B,商學202
BA415r,資訊分析與管理決策,廖本哲,6-67,商學202
BA489r,消費者行為,陳蓁逸,6-67,商學201
BA611r,企業研究方法,顧志遠,6-23,商學202
BA672r,科技與人文講座,易青雲,6-4B,商學205
BA727r,職場人際與心理,丁姵元,4-EF,商學206
BA729r,國際競爭力與臺灣企業,王如鈺,6-4B,商學201
BA729r,國際競爭力與臺灣企業,邱雅萍,6-4B,商學201
BA901r,電子化企業,賴正育,6-23,商學201
BA612s,企業變遷與人才發展,易青雲,6-67,維澈901
BA616s,領導者人生哲學,顧志遠,6-8C,維澈901
BA664s,全球市場行銷布局策略,邱麗孟,6-4B,維澈901
BA664s,全球市場行銷布局策略,顧筱筠,6-4B,維澈901
BA685s,領導與決策,張光正,6-23,維澈901
BA121A,管理學,施麗琴,1-678,教學515
BA240A,經濟學(二),朱珊瑩,4-234,教學515
BA241A,會計學(二),吳冠勲,2-567,教學617
BA610A,英文(二),賀彥豪,4-78,教學405B
BA612A,英語聽講(二),簡洛汾,1-34,全人南棟301
BA726A,運算思維與程式設計,吳岳穎,3-78,管理102
BA801A,語文與修辭,陳冠勳,4-56,教學618
BA000B,自然科學與人工智慧導論,阿將伊崮喜瀾,1-56,教學408
BA121B,管理學,易青雲,1-234,教學308
BA240B,經濟學(二),陳蓁逸,2-567,商學206
BA241B,會計學(二),陳計良,3-2,教學617
BA610B,英文(二),呂文琪,4-78,教學415B
BA612B,英語聽講(二),呂亭慧,1-78,全人南棟402
BA801B,語文與修辭,陳康芬,4-56,教學412
BA000C,自然科學與人工智慧導論,林志輝,2-78,教學412
BA121C,管理學,蔡文鈞,3-678,商學209
BA240C,經濟學(二),陳蓁逸,2-234,教學609
BA241C,會計學(二),陳計良,1-567,教學617
BA610C,英文(二),江麗蓉,4-78,教學810
BA612C,英語聽講(二),羅芸芳,1-34,全人南棟401
BA801C,語文與修辭,林麗裡,4-34,教學618
BA1211,管理學,易青雲,1-567,教學308
BA1261,商用數學,施麗琴,5-567,商學206
BA2401,經濟學(二),周大森,2-567,教學308
BA2411,會計學(二),陳計良,4-234,教學617
BA6101,英文(二),陳佩萱,4-78,教學315B
BA6121,英語聽講(二),賴曉雯,1-34,全人南棟302
BA7261,運算思維與程式設計,賴正育,3-56,管理102
BA8011,語文與修辭,邱梓桓,3-78,懷恩105
BA024W,科技管理專題研討,邱榆淨,3-78C,商學202
BA138W,論文, ,,
BA637W,創新教學與學習專題,吳昱鋒,4-567,全人南棟409
BA138T,論文, ,,
BA161T,量化研究與資料分析,賴正育,2-8C,商學201
BA339T,國際企業人力資源管理,邱雅萍,1-56,商學202
BA532T,勞動生產力專題研究, ,1-8CD,商學206
BA533T,勞動基金管理專題研究, ,2-678,商學202
BA548T,行動學習與管理發展,丁姵元,4-567,商學407
BA573T,策略行銷管理,曲祉寧,4-234,商學202
BA649T,企業倫理專題,李旭梅,3-56,商學202
BA803T,跨文化交流與研習,李明彥,5-234,商學202
BA803T,跨文化交流與研習,鄭猷超,5-234,商學202
BA803T,跨文化交流與研習,邱榆淨,5-234,商學202
BA011t,金融科技,張家瑞,6-23,商學206
BA138t,論文, ,,
BA457t,策略行銷,廖本哲,6-8C,商學206
BA457t,策略行銷,周文瓊,6-8C,商學206
BA651t,智慧財產權與技術移轉管理,樊治齊,6-67,商學206
BA714t,財務管理與財報分析,劉立倫,6-4B,商學206
BA794t,供應鏈管理,黃文佐,6-23,管理203
BA803t,跨文化交流與研習,李明彥,5-EF,商學201
BA919t,策略性人力資源管理,陳旭麟,6-4B,管理203
BA138u,論文, ,,
BA021t,策略管理專題研討,吳森琪,2-EF,
BA714z,財務管理與財報分析,劉立倫,4-EFG,
BA719t,企業倫理與社會責任,陳蓁逸,3-EF,
BA071D,財務管理,陳瓊蓉,1-34,商學205
BA238D,統計學(二),廖本哲,1-5,商學205
BA343D,生產與作業管理,吳森琪,3-567,教學609
BA346D,行銷管理及個案研討,曲祉寧,2-1,教學515
BA466D,人力資源管理,丁姵元,2-234,教學401
BA702D,實用英文（二）,郭媛婷,5-78,懷恩205
BA051E,管理數學,胡宜中,2-678,教學802
BA238E,統計學(二),周大森,4-234,教學609
BA346E,行銷管理及個案研討,廖本哲,1-34,商學209
BA466E,人力資源管理,李旭梅,5-234,商學206
BA702E,實用英文（二）,歐貞秀,5-78,教學415B
BA071F,財務管理,陳瓊蓉,1-567,商學209
BA238F,統計學(二),周大森,1-234,教學617
BA343F,生產與作業管理,吳森琪,4-678,教學515
BA346F,行銷管理及個案研討,曲祉寧,3-567,教學515
BA466F,人力資源管理,丁姵元,2-567,教學515
BA702F,實用英文（二）,謝欣芳,5-78,教學415A
BA0512,管理數學,李宗偉,4-678,商學209
BA2382,統計學(二),林忠億,4-234,教學308
BA3462,行銷管理及個案研討,廖本哲,1-67,商學205
BA4662,人力資源管理,邱雅萍,2-234,教學515
BA7022,實用英文（二）,侯淑惠,5-78,教學315B
BA7027,實用英文（二）,陳蓉娟,5-78,教學305B
BA080G,商用英文,許瑞玟,3-8CD,教學308
BA123G,資訊管理,賴靖憲,2-8CD,商學205
BA146G,策略管理,李雨師,4-567,教學308
BA299G,專題研究(二),周文瓊,,
BA299G,專題研究(二),林忠億,,
BA299G,專題研究(二),曲祉寧,,
BA324G,商業簡報製作實務,楊玉文,1-8CD,教學708
BA352G,VBA程式設計,楊玉文,1-123,管理102
BA355G,長期照護概論, ,4-8CD,教學308
BA373G,商業英語會話(二),朱美玲,1-56,教學318
BA373I,商業英語會話(二),祝鳳儀,1-56,教學509
BA386G,藝術團體組織概述,翁立美,3-56,商學201
BA499G,企業管理實習,施麗琴,,
BA511G,顧客關係管理,周文瓊,2-234,教學617
BA578G,醫療資訊管理,湯珮琦,5-567,商學205
BA578G,醫療資訊管理,楊秀貞,5-567,商學205
BA007H,星馬印尼面對面,方俊能,1-78,商學201
BA007H,星馬印尼面對面,林震岩,1-78,商學201
BA032H,資產配置與風險管控,李明彥,,
BA032H,資產配置與風險管控,陳晨風,,
BA039H,資產配置與風險管控實務,李明彥,5-8CD,商學205
BA039H,資產配置與風險管控實務,陳晨風,5-8CD,商學205
BA066H,商事法,許睿元,1-34,教學609
BA082H,投資學,林忠億,4-567,教學617
BA103H,創新與創業管理,郭碧濤,1-EFG,教學609
BA318H,物流業實務研討,黃文佐,3-CD,商學206
BA335H,形象品牌管理,林瓊菱,2-234,商學205
BA357H,企業商務談判,鄭詠隆,4-234,教學802
BA373H,商業英語會話(二),吳自蓉,3-56,教學415A
BA373J,商業英語會話(二),黃玟婕,3-56,教學415B
BA518H,物流運籌管理,黃文佐,2-8CD,教學609
BA080K,商用英文,陳淑琦,4-678,教學609
BA123K,資訊管理,賴正育,2-234,商學209
BA146K,策略管理,李雨師,3-567,教學308
BA300K,旅遊業管理實務,鄭詠隆,1-D,教學515
BA338K,服務業行銷,王如鈺,4-234,商學209
BA351K,創新服務與社會企業,曹淑茹,2-567,教學305A
BA359K,連鎖企業管理,鄭詠隆,5-234,教學515
BA361K,新南向國家商情,方俊能,1-56,商學201
BA361K,新南向國家商情,林震岩,1-56,商學201
BA3738,商業英語會話(二),祝鳳儀,1-78,教學509
BA373K,商業英語會話(二),朱美玲,1-78,教學318
BA924K,商管社會責任實踐(二),丁姵元,2-8,管理321
BA924K,商管社會責任實踐(二),廖本哲,2-8,管理321
BA924K,商管社會責任實踐(二),施麗琴,2-8,管理321
BA924K,商管社會責任實踐(二),王如鈺,2-8,管理321
BA0663,商事法,許睿元,1-12,教學609
BA2483,健康促進概論,范馨瓊,2-234,商學206
BA2483,健康促進概論,張哲輔,2-234,商學206
BA3173,永續組織與人力發展,余珮吟,2-EFG,教學515
BA3173,永續組織與人力發展,莊博雅,2-EFG,教學515
BA3603,通路管理與活化實務,陳榮岳,1-678,教學609
BA3733,商業英語會話(二),黃玟婕,3-78,教學415B
BA373O,商業英語會話(二),吳自蓉,3-78,教學415A
BA3843,永續企業推動策略,賴育津,4-567,商學205
BA3843,永續企業推動策略,周文瓊,4-567,商學205
BA021L,商業智慧與資料分析,黃世翔,4-EFG,教學705
BA281L,當代管理學,李宗偉,4-234,商學206
BA446L,消費心理學,陳蓁逸,3-567,商學205
BA457L,策略行銷,周文瓊,2-567,教學609
BA489L,消費者行為,林瓊菱,1-567,商學206
BA250M,科技溝通,陳文良,1-DEF,教學617
BA339M,國際企業人力資源管理,邱雅萍,1-78,商學202
BA356M,企業危機管理,鄭詠隆,1-234,教學515
BA408M,招募與甄選,李旭梅,4-567,商學201
BA461M,科技法律與智慧財產權,邱榆淨,4-234,商學205
BA504M,國際企業個案研討,陳瓊蓉,2-567,商學205
BA043N,財報解讀力,林忠億,2-5,商學209
BA072N,人際關係,林瓊菱,4-234,教學401
BA433N,運動行銷,王如鈺,3-567,商學206
BA437N,服務業人力資源管理,曾慧珍,3-8CD,商學205
BA498N,科技管理導論,邱榆淨,2-678,商學209
BA3154,理財規劃與策略,林忠億,2-234,教學308
BA4014,財務報表分析與實作,陳瓊蓉,3-567,教學305A
BA4134,內部控制與稽核實務,蔡孟樺,2-8CD,商學206
IT000A,自然科學與人工智慧導論,阿將伊崮喜瀾,1-78,教學408
IT061A,國際貿易導論,伍向豪,1-6,商學302
IT109A,民法概要  (二),許凱傑,5-34,商講堂
IT240A,經濟學(二),江長周,4-234,教學318
IT241A,會計學(二),鄭淩淇,3-78C,商學302
IT272A,商用日文 (二),柯惟惟,4-78,教學318
IT610A,英文(二),賀彥豪,4-56,教學405B
IT612A,英語聽講(二),周孟穎,3-12,全人南棟402
IT778A,經濟學(二),江長周,2-78C,教學310
IT801A,語文與修辭,陳美吟,1-12,教學815
IT082R,投資學,方豪,2-567,商學301
IT493R,國際企業管理,胡翼堂,2-234,商學309B
IT493R,國際企業管理,李正文,2-234,商學309B
IT502R,專題研討(二),俞海琴,3-56,商學301
IT601R,國貿理論與政策 (一),紀登元,5-567,商學309B
IT604R,英語溝通與訓練 (一),黃子玲,1-56,商學309B
IT766R,論文寫作,伍向豪,4-78C,商學309B
IT493r,國際企業管理,李正文,2-EFG,商學301
IT493r,國際企業管理,胡翼堂,2-EFG,商學301
IT628r,國際人力資源與策略管理,黃子玲,4-EFG,商學309B
IT630r,全球行銷與品牌策略,陳宜棻,1-EFG,商學301
IT766r,論文寫作,伍向豪,5-EFG,商學301
IT126B,商用數學,沈丹尼,1-34B,商學308
IT240B,經濟學(二),楊奕農,5-567,商學308
IT241B,會計學(二),鄭淩淇,2-234,教學318
IT610B,英文(二),呂文琪,4-56,教學415B
IT612B,英語聽講(二),簡洛汾,1-12,全人南棟301
IT726B,運算思維與程式設計,伍向豪,1-78,管理101
IT801B,語文與修辭,周文鵬,5-12,教學818
IT097D,英語簡報技巧,韓震緯,5-34,教學318
IT223D,個體經濟學(二),呂介夫,2-567,商學302
IT225D,總體經濟學(二),楊奕農,4-1CD,教學605
IT238D,統計學(二),江長周,1-234,商學302
IT302D,商用日文(四),柯惟惟,4-CD,教學318
IT377D,國際行銷管理,陳曉瑩,4-34B,商學302
IT440D,商業軟體應用,楊玉文,1-B56,管理101
IT469D,金融市場,廖仁傑,4-567,商學308
IT552D,管理經濟學,黃子玲,4-567,商學302
IT606D,國際貿易理論與政策(二),吳彥成,2-234,商學308
IT702D,實用英文（二）,趙乙勵,5-56,教學315A
IT138T,論文, ,,
IT138t,論文, ,,
IT719t,國際行銷管理專題,陳宜棻,3-EFG,商學307
IT719t,國際行銷管理專題,賴靖憲,3-EFG,商學307
IT238E,統計學(二),伍向豪,4-234,商學308
IT377E,國際行銷管理,陳宜棻,1-78C,商學302
IT377E,國際行銷管理,賴靖憲,1-78C,商學302
IT606E,國際貿易理論與政策(二),吳彥成,1-234,商講堂
IT702E,實用英文（二）,王惠芝,5-78,教學305A
IT071G,財務管理,方豪,1-678,商學308
IT082G,投資學,黃子玲,4-8CD,教學301
IT306G,職場工作實務,宋泉明,3-567,教學318
IT326G,證券市場分析(二),蕭瑞銘,3-567,商學308
IT333G,貨幣銀行學與數位金融(二),俞海琴,2-56,商學308
IT335G,美中貿易與科技,吳又茗,3-78C,教學518
IT338G,金融科技創新創業,方豪,4-234,教學518
IT350G,國際物流,郭怡君,4-678,商學301
IT373G,商業英語會話(二),吳秀英,5-56,教學515
IT373I,商業英語會話(二),陳淑琦,5-56,教學609
IT397G,計量經濟學,楊奕農,2-1CD,
IT614G,國際企業生產作業管理,沈丹尼,4-234,商學301
IT905G,專題研究,楊奕農,,
IT905G,專題研究,紀登元,,
IT905G,專題研究,方豪,,
IT905G,專題研究,俞海琴,,
IT905G,專題研究,吳彥成,,
IT122H,國際貿易實務,郭怡君,3-12,教學605
IT333H,貨幣銀行學與數位金融(二),俞海琴,2-78,商學308
IT373H,商業英語會話(二),吳秀英,5-78,教學515
IT373J,商業英語會話(二),陳淑琦,5-78,教學609
IT493H,國際企業管理,陳曉瑩,5-34B,管理321
IT905H,專題研究,陳曉瑩,,
IT905H,專題研究,伍向豪,,
IT905H,專題研究,陳宜棻,,
IT905H,專題研究,郭怡君,,
IT905H,專題研究,黃子玲,,
IT208L,職涯規劃導引,陳曉瑩,2-567,教學318
IT208L,職涯規劃導引,紀登元,2-567,教學318
IT208L,職涯規劃導引,周文鵬,2-567,教學318
IT321L,市場開發與管理,吳治富,2-234,商學301
IT419L,企業實習(二),吳彥成,,
IT424L,金融機構管理實務,蕭義忠,4-8CD,商學308
IT425L,國際政經現勢,吳又茗,4-B56,教學301
IT436L,商業電子郵件寫作,楊明憲,4-78,教學402
IT475L,國貿法規,林映均,5-234,商學302
IT485L,外匯操作理論與實務,劉曉燕,2-234,商學302
IT605L,國際金融(二),吳彥成,5-56,商講堂
IT605M,國際金融(二),紀登元,5-34,商學308
AC503R,計量分析(二),單騰笙,2-234,商學402
AC506R,綠色會計專題研討,李先莉,4-234,商學402
AC509R,財務會計理論,廖益興,1-567,商學402
AC588R,會計人企業購併新思維,曹美娟,3-2,管理401
AC601R,高等管理會計,黃朝信,5-234,商學402
AC628R,會計資訊與資本市場,劉立倫,2-567,商學402
AC602r,高等審計學,廖益興,3-EFG,
AC654r,環境、社會與公司治理專題研討,李德冠,4-EFG,商學409
AC655r,會計數據分析,單騰笙,2-EFG,商學402
AC048A,民法概要,劉美香,1-123,教學318
AC109A,財務數學(二),陳育欣,3-5,教學518
AC121A,管理學,施麗琴,4-234,管理401
AC240A,經濟學(二),吳彥成,5-234,商學409
AC241A,會計學(二),陳計良,2-234,教學518
AC245A,稅務法規(二),張敏蕾,2-1,管理401
AC610A,英文(二),郭怡潔,4-78,教學405A
AC612A,英語聽講(二),梁立芳,5-56,全人南棟301
AC726A,運算思維與程式設計,莊泉福,1-56,教學715
AC801A,語文與修辭,陳康芬,3-78,懷恩106
AC048B,民法概要,高毓謙,5-567,教學518
AC109B,財務數學(二),陳育欣,3-2,商學408
AC240B,經濟學(二),楊奕農,4-B56,管理401
AC241B,會計學(二),丁嬋娟,2-567,商學408
AC245B,稅務法規(二),張敏蕾,3-1,教學518
AC610B,英文(二),張若妍,4-78,教學415A
AC612B,英語聽講(二),董玉莉,2-34,全人南棟302
AC726B,運算思維與程式設計,莊泉福,1-78,教學715
AC801B,語文與修辭,林宗昱,2-12,教學310
AC000C,自然科學與人工智慧導論,卓岳,5-8C,教學409
AC048C,民法概要,葉斯偉,1-123,教學518
AC109C,財務數學(二),陳育欣,3-1,商學408
AC121C,管理學,蔡文鈞,2-678,教學518
AC240C,經濟學(二),蕭瑞銘,5-567,教學318
AC241C,會計學(二),鄭淩淇,1-567,教學518
AC245C,稅務法規(二),張敏蕾,4-1,商學408
AC6101,英文(二),張俶真,4-78,教學305A
AC6106,英文(二),龐美華,4-78,教學315A
AC610C,英文(二),鍾夙怡,4-78,懷恩106
AC610I,英文(二),施嘉琪,4-78,懷恩201
AC612C,英語聽講(二),呂亭慧,5-34,全人南棟302
AC801C,語文與修辭,賈元圓,2-34,懷恩205
AC138T,論文, ,,
AC417T,企業實習(三) ,陳育欣,,
AC418T,企業實習(一),陳育欣,,
AC644T,會計研究專題研討  (二),林江亮,3-56,商學402
AC648T,政府會計專題研討,林江亮,5-678,商學402
AC649T,企業倫理專題,林江亮,4-78,商學402
AC138t,論文, ,,
AC579t,企業評價分析,林江亮,5-EFG,商學402
AC649t,企業倫理專題,林江亮,4-EF,商學402
AC053D,財政學,黃子玲,5-234,商學408
AC202D,中級會計學(二),吳冠勲,3-567,商學408
AC210D,租稅實務,戴筱姍,5-EFG,教學518
AC238D,統計學(二),黃朝信,2-567,管理401
AC454D,成本會計(二),廖益興,2-234,管理401
AC702D,實用英文（二）,郭媛婷,5-56,懷恩205
AC202E,中級會計學(二),丁嬋娟,3-567,管理401
AC238E,統計學(二),李德冠,4-567,商學409
AC454E,成本會計(二),張淑清,1-567,商學409
AC702E,實用英文（二）,歐貞秀,5-56,教學415B
AC202F,中級會計學(二),吳冠勲,1-567,商學408
AC238F,統計學(二),李德冠,2-567,管理321
AC454F,成本會計(二),張淑清,3-567,商學409
AC7022,實用英文（二）,侯淑惠,5-56,教學315B
AC7027,實用英文（二）,陳蓉娟,5-56,教學305B
AC702F,實用英文（二）,謝欣芳,5-56,教學415A
AC071G,財務管理,吳冠勲,3-8CD,商學408
AC350G,策略性財務報表分析,李先莉,5-234,管理401
AC351G,財務會計準則新趨勢,丁嬋娟,5-567,商學408
AC372G,政府會計,張信一,1-234,教學816
AC373G,商業英語會話(二),吳自蓉,1-78,教學415A
AC373I,商業英語會話(二),吳秀英,1-78,教學415B
AC435G,高等會計學(一),單騰笙,4-234,商學408
